Project ID,Resource Item Name,Resource Quantity,Resource Unit Price,Resource Vendor Name
cce482513c35129eab99153b205cc745,gg963x - help-yourself book boxes - set of 6,4.0,39.99,Lakeshore Learning Materials
5698004a4c0f6047f4e45d398d70d70c,"vinyl ease 12"" x 12"" 30 sheets assorted glossy colors permanent adhesive vinyl for cricut, silhouette, pazzles, craft robo, quickutz, craft cutters, die cutters, sign plotters - v0101",1.0,19.95,Amazon Business
5738c3b682703df81871cfc07cdc648e,"tygon nd100-65 medical/surgical plastic tubing, clear, 1/16"" id x 1/8"" od x 1/32"" wall, 10 feet length",3.0,5.47,Amazon Business
4d55545cc33afd9932ae11d9e99cbfcd,udraw game tablet with udraw studio: instant artist - black - nintendo wii,1.0,23.85,Amazon Business
9db14162bbd97a683b831674a8bcb0b9,trip,,,
d7e936e72cab8fe6a0e0a0832e6838c5,pp516 - science file folder games - gr. 2-3,1.0,34.99,Lakeshore Learning Materials
df67cef1b0f096a66c4166244cd3e7fc,"mr. sketch assorted scent markers, 12 pack (1905069)",1.0,5.0,Amazon Business
2532f99347aa540c65636c37e2e7e6bd,"gaiam kids stay-n-play children's inflatable balance ball desk chair with stability legs - flexible classroom seating, blue, 52cm",1.0,19.98,Amazon Business
551106fc26d224851f43e911839f3e5e,beach babe (babymouse #3),1.0,6.4,Amazon Business
c38b156c290af29ab84c0b44a2db50f6,magnetic butterfly life cycle,1.0,17.75,Nasco
c302f532980c93a4543a771d7b2c95ea,stencil mill,1.0,16.96,Kaplan Early Learning Company
77b3b7dcb002d7711fbdcafd96e71aa7,"disposable polyethylene gloves, large, box of 100",13.0,4.32,Carolina Biological Supply Company
32e9fb202b32e9b209d3b65cec3d7197,ball basketball lady composite leather,4.0,24.69,School Specialty
c946fa1f4ac2c2c5024e3f78ffd94d6f,"sargent art acrylic paint pots - basic colors, set of 12, .75 oz jars",7.0,6.11,Blick Art Materials
852fa79de80a3c09690ffca999526b56,"t200xlbcs epson 200xl/200 high yield black & standard color ink cartridges (t200xl-bcs), 4/pack t200xlbcs",1.0,56.53,Amazon Business
6b6891648b357f28f15b5e2fbe73f877,"bic brite liner highlighters chisel point, assorted colors, 1 dozen",1.0,7.01,Quill.com
8ea77c90d6510c798736258e86349148,"best dry erase whiteboard markers, 12 assorted color, set of 36",3.0,19.99,Amazon Business
40dea6041d2e7b4b40509be2023385ae,"tape logic 5/8"" individual tape hook dot,  white, 1200/carton",1.0,25.49,Quill.com
4bd2669ac0a69c1fa30adc68b96e837e,"river tank ecosystem, 20-gal complete",1.0,288.75,Carolina Biological Supply Company
3578c92f4d4bfb47d5723a26a50aa997,"ixcc â® shockproof silicone case cover for all apple ipad mini models, extreme heavy duty [drop proof, kids proof, shock proof, anti slip] high quality rubber soft gel material offers robust protection for kids, baby, children, boys and girls [green]",1.0,9.99,Amazon Business
f31c4d9fb6d777b59fc29f1b6148efdb,apple® - ipod touch® 16gb mp3 player (5th generation - latest model) - space gray,3.0,188.66,Best Buy Education
36a76b3a269dac14376f9edfad01a2bd,odell beckham jr.,1.0,5.8,AKJ Education
b62a6523e6115aeb91ede001a5e2c552,pp268vt - classroom supply caddies - each - purple,2.0,4.99,Lakeshore Learning Materials
12c682a496657d7aa989c871af1a32f8,drama,1.0,6.79,Amazon Business
27a6cc2c726bf3137e03fbe98bbc37c7,ll439 - rhyming sounds magnetic sorting board,1.0,29.99,Lakeshore Learning Materials
591868f9c7d08bb396998df79aa98235,i'm cool!,1.0,9.44,Amazon Business
648c6e95dcc538c6c2d539642c111f3f,mimioteach,1.0,915.0,Amazon Business
f5ebd1877d5e84ceffc6b4cc987c2567,jj618 - classic birch tabletop communication center,2.0,89.99,Lakeshore Learning Materials
fd3415909769f7948bfb2534381427bb,"manna pro fresh flakes poultry bedding, 12-pounds",1.0,25.91,Amazon Business
8ce72c9e7610f329d92a96705c829472,"apple ipad mini fd531ll/a 16gb, wi-fi, (white/silver) (certified refurbished)",5.0,189.93,Amazon Business
c0f42d1ee74e32922207587e2dd068cb,sterilite 6-quart clear storage tote (12 pack),4.0,28.41,Amazon Business
5383c04ec54189b59e35cd8394396159,ll961 - teaching phonemic awareness skills activity center,1.0,29.99,Lakeshore Learning Materials
8bd2b94bb5873ff0c09bb2b272ad8c15,felita,1.0,5.53,Amazon Business
bee611f965b8468ce969b1d41534ce2a,mossflower a tale from redwall,2.0,7.29,AKJ Education
7108bce59ebf466b4809d907f14710e7,lumberjanes vol. 2: friendship to the max,1.0,9.5,Amazon Business
e21ef917e237c894747a858c18e0af5f,chemetrics phosphate water test kit,1.0,61.7,Carolina Biological Supply Company
5329c3edcb28d73fa0a80ea543bce0fc,césar chávez,1.0,6.56,AKJ Education
7f368e64299e28be567d9b4c97f63942,crossing the tracks,1.0,6.56,AKJ Education
3ee4b34a4e0f90abdf006f95df07f883,neulog usb bridge module,2.0,47.5,Carolina Biological Supply Company
68821f83b7627a6f9afc5a57e7c7122e,wings of fire book five: the brightest night,2.0,12.09,Amazon Business
0f2ca79066a083ada077831a49dc2cec,jj605 - word building magnetic letters - uppercase,2.0,6.99,Lakeshore Learning Materials
dafa9124c8d7c969ee7dd00fb20066fe,ellis island (true books),1.0,5.61,Amazon Business
b3331a3e220268cab8b09f93f3ab5cff,amazon - kindle fire hd - 8gb - black,4.0,139.99,Best Buy Education
83a58d7cb82c7d6bb13ef0e969c6ea90,"tyrannosaurus math michelle markel, doug cushman",1.0,11.67,AKJ Education
bc0726aae05daf563a7dd11644ff5b87,"milliard anti-burst peanut ball variety pack - approximate sizes: green 39x20"" (100x50cm) & blue 31x15"" (80x40cm) physio roll",3.0,21.99,Amazon Business
d3e106d2ca5c76413273d41042c9752a,"abacus mind math instruction book level 1: step by step guide to excel at mind math with soroban, a japanese abacus (volume 1)",1.0,44.95,Amazon Business
ded631f437a8453f395ee4e281d97a68,magic tree house #24: earthquake in the early morning,3.0,4.37,AKJ Education
eb563bc1f7259de3ad53bba3be48da3d,gregor the underland chronicles (5 volume set),1.0,25.33,Amazon Business
65f3723296d6ab7b8d0e43ebf57314de,elite true power meter & engage hub,1.0,199.0,Amazon Business
f2be1489c11832fa72dd83dfa066aa28,squaretrade 2-year tablet protection plan ($200-$250),6.0,37.95,Amazon Business
f5f1b08fc213b75e1316fad0a2bd4870,the cloud searchers (turtleback school & library binding edition) (amulet (prebound)),1.0,17.19,Amazon Business
9e4fe0023dfb8f222f23a663ec094443,dd105 - black write & wipe markers - thin-line - set of 4,1.0,3.99,Lakeshore Learning Materials
ff078880a0c498d13805bfd16d3f5f6a,"jerzees youth full zip hooded sweatshirt, black, medium",5.0,7.97,Amazon Business
dec75dcd6657ef19e62971897635070a,ra442 - nonhardening modeling clay bucket - each,2.0,8.99,Lakeshore Learning Materials
316f65c64bd6f974257531a60420fc6c,on monday when it rained,1.0,5.1,AKJ Education
76cf5ce9d941068d2c890287ca2d8c5f,fossil kit,1.0,65.07,Carolina Biological Supply Company
a125d757252859d9e213ed63b20edb3a,lego education community minifigures set 4598355 (256 pieces),1.0,54.95,Amazon Business
ed73fc8c844e9224467dddb5c79fb586,"bic pencil xtra strong value pack 0.9mm, assorted barrels, 24/pack",1.0,8.07,Quill.com
a02edbdea434992067859f1592a60ff4,jj311 - alphabet bingo,1.0,9.99,Lakeshore Learning Materials
c98e2fa7d4c1efbaa11c98a235a794aa,ipad and case,2.0,368.07,Best Buy Education
3321fe7bebabd49a121d9a6e504ba69f,"acco economy jumbo paper clips, smooth, jumbo, 100/box, 10 boxes (72580)",3.0,7.22,Amazon Business
b54e839b02e9309bd0be96391476c953,artemis fowl: the lost colony (book 5),2.0,7.91,Amazon Business
af9b862cabe82f448cf3cbf720e39d5a,johnny appleseed: my story my story,1.0,2.91,AKJ Education
eaac290514304af19931e6af5f14738a,"today i will fly (elephant and piggie series) mo willems, mo- oos july 11 off pc",1.0,6.56,AKJ Education
333e575bf232983af65f5b6f87895f9d,set of 24 rhythm sticks,1.0,24.99,Woodwind and Brasswind
db678cfe71f8ccc3ab360e9e66206d1e,px2128rd - lakeshore fully washable liquid tempera paint - 1 gallon - red,1.0,15.99,Lakeshore Learning Materials
137e23d2cf200772ccb48d8ea39aa234,a child's calendar,1.0,13.1,AKJ Education
636ec7d2b8284ec7ef65ee9f3938cc45,batman classic: who is clayface? who is clayface?,1.0,2.91,AKJ Education
4baf94e3ec3e6fbb135d6f0e63858770,fitbit - charge hr activity tracker + heart rate (small/medium) - tangerine,2.0,127.99,Best Buy Education
0ea518998643d9442a37507a27f09190,"chart tablet, 24"" x 32"", 1 1/2"" ruled with 7"" picture story space",1.0,9.47,Quill.com
ab0d6d9d160a924a4dadc62cbdbc15a1,charlie and the chocolate factory,20.0,6.99,Amazon Business
bc8230f47906f63cb4e251d8783c1175,ctk-2400 61-key portable keyboard,15.0,99.99,Woodwind and Brasswind
24e9a5bd8b3bcf529eda8b47f8198d47,the indian in the cupboard,1.0,5.05,AKJ Education
0523bc10575d3ccdd1ecb0d123a1b39e,learning resources lights and sounds buzzers,1.0,14.79,Amazon Business
86f5d713a1557253590f48b0fb6e0c49,quantum leap: the complete series,1.0,31.99,Amazon Business
d1f57d6b58b2ed798b2acb2fe4993d7c,bleach 9,1.0,5.8,AKJ Education
b1026edbd8e72077d861c61789023e9a,ff421 - phonics activity stations,1.0,69.99,Lakeshore Learning Materials
3d1329f2e7da58950665a12f89143d36,"snyder's of hanover mini pretzels large canister, 40 ounce",2.0,5.58,Amazon Business
8edbd5e28130f8bd4b44f47cc149e89b,do not open!,1.0,2.91,AKJ Education
71a646b32d7d554796b72a9689b7b1b2,bananagrams(r) word game,1.0,12.71,Kaplan Early Learning Company
7e5803443088eff198ff96bfc3aa6a3e,carson dellosa kid-drawn emotions bulletin board set (3250),1.0,10.79,Amazon Business
225d187234a5bebb83067159bb3fe209,dollhouse chalet with furniture,1.0,225.77,School Specialty
e993ab20fdc2380fc5ad24147c5d16a2,hunger games (3 bk set),8.0,31.83,AKJ Education
84471c2068a3f7a6bd7ddd0fbea904c8,blackbeard the pirate king,1.0,11.02,AKJ Education
9a8f062bad6ab3f5b16216301756d080,"common core state standards station activities for gr 7, revised edition (ccss station activities for middle school series, revise)",1.0,22.83,Amazon Business
af788ea1f97f788e50c125aa76c68f2e,"caroslide set: 72 carolina(tm) slides, no. 1 and no. 2 cover glasses",1.0,18.24,Carolina Biological Supply Company
60c393c7117f6762916b94729b850991,"clorox clo31428 disinfecting wipes, 7"" x 7"", fresh scent, 700/bag (pack of 2)",1.0,55.0,Amazon Business
4662017e672e3e1ab0c7d9b79cc5433d,aa843 - level j extra book set - gr. 1-2 - library 1,1.0,20.0,Lakeshore Learning Materials
40b452d774def6e7212eb3911a3dfb3c,one green apple,1.0,14.49,Amazon Business
eeb71ee90f0003293dd7a6164ed32b85,eyewitness: cowboy (eyewitness books),1.0,11.48,Amazon Business
17cf45124aeafffe193e1c3ca79c7ea2,art of war,4.0,9.45,AKJ Education
bdeece05ec33b5bb7e3383ba0b4a91ee,"engineer through the year: 20 turnkey stem projects to intrigue, inspire & challenge (grades k-2)",1.0,20.45,Amazon Business
4f9ec1a91c05b9125d9786d567575c80,"champion sports stopwatch timer set: waterproof, handheld digital clock sport stopwatches with large display for kids or coach - bright colored 6 pack",6.0,25.24,Amazon Business
6958538914ba461b9757e8b07e3baff5,logistic cam strap 16ft x 2in 1000lb,8.0,14.51,Grainger
9d2c6db3832747b92712dd9b6747ad87,jj119x - at-your-seat storage sack - set of 10,2.0,99.5,Lakeshore Learning Materials
802004a44453e5ed8d2e7eece3617611,essential elements for band - alto saxophone book 1 with eei (book/cd-rom),4.0,8.99,Woodwind and Brasswind
2ac0221f71a2225973b3bf85444b61fb,fitdeck junior,1.0,14.75,Amazon Business
f505a6dc29d9fd07e19f6ffff489f2bd,"apple ipad mini 4 wi-fi + cellular - tablet - 128 gb - 7.9' - 3g, 4g",1.0,729.99,Best Buy Education
350b13661e9b876d024c1b6df4f6d9f7,"sargent art classic markers fine tip, 24/pack",6.0,7.64,Quill.com
702ded1a8af874288769e25a735f981d,"nestle pure life purified water, 8-ounce plastic bottle, 24/case",15.0,7.49,Staples Advantage
fcc12b3ddfc4001b01eaeb31121be783,"brentwood 3438 crown chenille floor cushion, 24-inch, purple",2.0,19.99,Amazon Business
93cd91d0920cf705a9b605b64e19cd0e,"marblue slim hybrid standing case for the all new kindle fire hd, blue (will not fit older generation hd kindles)",1.0,29.99,Amazon Business
baa7dc8c3a5bb2d65ce7636f7c838d09,cando inflatable exercise ball with stability feet - 18 - yellow,28.0,16.95,Nasco
60480a9f6806f1edfbb4a86ffffbecc2,red kayak,2.0,6.0,Amazon Business
6058ea2bcb330974bc57e5b3f6b904b2,re225x - ready-to-read read-alongs - level 2,1.0,139.0,Lakeshore Learning Materials
8c6ecedb0e278a85e1543c15ca4d32c0,así me siento yo (spanish edition),1.0,10.36,Amazon Business
b63e491b7d7a6eba0684d6eb118068e9,john green box set,1.0,28.82,Amazon Business
f9a0c51a7c9cdb664789bcebef95c079,pm20 - heat-sealed hygienic folding rest mat,1.0,27.99,Lakeshore Learning Materials
5b457dcb835d2fd3a7224ce66d5fc094,working with others,1.0,2.0,AKJ Education
e1dae1c9fbfcc1eb8a415c2d5115c34b,osmo creative set with monster game (base required),2.0,49.99,Amazon Business
7d9e327a933d97418df24571a3d68e6e,choices in a jar,1.0,9.91,Amazon Business
be34b339c79ea0745c242815da08b13e,red riding hood (retold by james marshall),1.0,6.07,Amazon Business
169c63ea6f45d2960518bae364b5f11c,"evan-moor take it to your seat phonics centers teacher resource book, grades pre kindergarten-k",1.0,20.79,Staples Advantage
cc2a3d8450d59f22b0ff98a6fe249068,using money,1.0,7.26,AKJ Education
93a6b9ece21a7aaf4b388a6489220b31,"microsoft surface pro ( platinum, core m, 4gb, 128gb) with black type cover",1.0,733.0,Amazon Business
11ad3420ddcddf280185c73ae585e830,for cozmo robot face screen guard. excellent protector from unexpected attacks of kids and pets. best protection against scratches,1.0,8.4,Amazon Business
eb2987aeca8cfef162be61820bbe1bed,kc70 - write & wipe lapboard - set of 10,1.0,28.99,Lakeshore Learning Materials
28e42b2a253294c5b70aabd1032594a9,pets,1.0,3.64,AKJ Education
b692401765e93c647203630e2f13112b,possum come a-knockin (dragonfly books),1.0,14.07,Amazon Business
b30728600a304f8562797ea4244b22ce,lego(r) fantasy minifigure set (45023),1.0,46.95,Kaplan Early Learning Company
ac7ac3d12e3b32def4ea60695909f085,"ipad 9.7"" 32 gb space gray",1.0,329.99,Quill.com
f0d8ffb3fba5c2a4c30e0b828572ad2e,cd - because of mr. terupt,1.0,17.99,AKJ Education
6e22487a585dcd122331897c6ca82208,apple ipad mini 2 wi-fi - tablet - 32 gb - 7.9',4.0,269.99,Best Buy Education
b3bcbfe858b9f425fd2141f61ecc053b,"sentey 6-port 50w 2.4amp usb charger charging station full smart ports auto detect technology fasting charge and safety ls-2225 black rubber finish charging hub multi port usb charger wall and travel charger for apple iphone 4-5-6 / 6 plus, ipad air 2 / mini 3, samsung galaxy s6 / s6 edge and more- retail packaging-(black) included free travel pouch protection bag",1.0,15.99,Amazon Business
25da15e70d561ef2f95143ce651e61f6,gulp: adventures on the alimentary canal,1.0,10.09,Amazon Business
af9cd2658bb4db58457d38c382c8b861,re445x - my first i can read! read-alongs,1.0,139.0,Lakeshore Learning Materials
8113cd2bfcc3a3086ec49a2a6155aa15,post-it paper note 3x3 neon 100/sht pad pack of 5,2.0,7.94,School Specialty
a73d0d3d1825206f1f31cbc44c402451,hatchet (stock),6.0,5.1,AKJ Education
e1a1a5c6126a57217b3092e7beacdb64,explore my world book set (set of 4),1.0,16.96,Kaplan Early Learning Company
4d3e9f42b850896f102cafa16e8e3468,blick acrylic gel medium - quart,5.0,9.72,Blick Art Materials
eb1e51658b0f7cd7dc5c28d2705827bb,claude monet,2.0,5.8,AKJ Education
038a895c1499570d4f7e703736c0faf4,the grouchy ladybug,1.0,4.72,Amazon Business
e0307cc20af2aa5ede37f8672caf8782,gallopade publishing group historical documents early explorers primary sources pack (9780635125996),1.0,12.99,Amazon Business
c5fcc53140903d95a5af1b4c006e83d8,"apple ipad mini mf432ll/a (16gb, wi-fi, space gray )",4.0,245.0,Amazon Business
8468559a1b38ae1b5f81e950506a0076,ta51gb - construction paper - 12&amp;#34; x 18&#34; - bright green,2.0,2.29,Lakeshore Learning Materials
2084e1e81c7a283a596f0f3b13d7de7a,"samsung chromebook 3 xe500c13-k01us 2 gb ram 11.6"" laptop",6.0,189.0,Amazon Business
4ee66abb9352ff1516468fd6ac4b57cc,kit inq inv force and motion,1.0,139.95,Frey Scientific
d254192c0f02122b9057223ff1ba2f0f,the little prince,1.0,14.59,AKJ Education
566216aff4c90dfbba32d0fa1c8c340b,tk4049510t stainless steel transplanting garden trowel sharp point ergonomic gel grip,1.0,12.35,Grainger
c3822908657ad974b739f6186f0c898d,apple&#174; ipad&#174; mini wi-fi - tablet - ios 6 - 16 gb - 7.9,20.0,199.99,Best Buy Education
d9a7744bce21677d930debdde9138ade,the three billy goats gruff/los tres chivitos carol ottoleng,1.0,2.91,AKJ Education
466c96b4e3526aa8c9386d302d42b54a,cricut tools craft basic set,1.0,13.72,Amazon Business
fc318ce8d6d391d9ad24b24a79afce82,amazing whales! (i can read book 2),1.0,3.9,Amazon Business
32d0818adee7b858c68dceac9a1af0eb,"mr. sketch 1905069  scented markers, chisel tip, assorted colors, 12-count",2.0,5.22,Amazon Business
5c0c521aa9aa0cf31e32e4fa1fbb3deb,ff464 - leveled library mobile storage cart,1.0,129.0,Lakeshore Learning Materials
9e6dc905a5c27bcb1c35898c87caaf91,"expo low odor chisel tip dry-erase markers, assorted, 16/pack",5.0,10.49,Staples Advantage
fc796d643273ed583c9e48bb8b140496,game guess who?,1.0,11.64,School Specialty
0d726fb87201520cd3621cc2ed121e1e,hh826 - wipeout!: a vocabulary game - single license cd-rom,1.0,14.99,Lakeshore Learning Materials
4a0358fbb03f5503455f9322deaf58c5,"party streamer, 81-feet, bright yellow",1.0,1.39,Amazon Business
b3e722b301b6fce33670635bd89c038c,lumberjanes vol. 1: beware the kitten holy,3.0,12.03,Amazon Business
38d31060d0e412e341a1df63dea3d173,pete the cat and the bedtime blues,1.0,13.42,Amazon Business
a4698b4f479f5b8562988aef8c1ae9db,moopy on the beach (monster friends),1.0,6.84,Amazon Business
e3d4e8b699818988170f863a3494cc6b,if i stay - pb,3.0,8.02,AKJ Education
643fe8938e96824388ba4826dc2c2a9f,who was gandhi?,1.0,4.53,Amazon Business
2fe6055bb63b363c3ff2f7300d278e7d,paper clips mega clip pack of 5,1.0,1.7,School Specialty
033991b8d606fc89af49654e87f2d0ed,time for kids book of how: all about animals,25.0,4.49,Amazon Business
3ec2924b41e1500d87073ef7865ee85b,cd402c - phonics level 2 cd-rom  - class license,1.0,49.99,Lakeshore Learning Materials
fcb6d805cec7f6caaad7c25cd8c250f5,the name jar,3.0,7.67,Amazon Business
719558a3beffdb906224b5a25d5d3609,"folding step stool - 11"" wide - the lightweight step stool is sturdy enough to support adults and safe enough for kids. opens easy with one flip. great for kitchen, bathroom, bedroom, kids or adults.",1.0,8.49,Amazon Business
9f5090d57f1f170827d854c172316135,purell advanced instant hand sanitizer 2 liter pump,1.0,23.99,Quill.com
40d83a6c208c5be156d7849195f9ad98,tt740x - let&#8217;s talk! community helpers puppets - complete set,1.0,99.5,Lakeshore Learning Materials
2a173f6c8dcc687aa3a6b1b2cf5a5e23,melissa & doug butterfly garden wooden jigsaw puzzle (48 pieces),1.0,10.34,Amazon Business
4d5a3dd45ac326fe64f1b01cdc648ce0,"maximatic esb-301f elite cuisine single cast burner 1000-watt hot plate, white",3.0,15.08,Amazon Business
9bf15b6925ae90b3462e4d920976a895,71281-1002-big book of drawing animals,1.0,19.54,Blick Art Materials
dc5b53d440765adaf110597fb01e8a8e,glue stick .28oz purple pack of 12 - school smart,1.0,4.11,School Specialty
1509d87f9d6abbece9cf9e4798b8a693,the dark (bccb blue ribbon picture book awards (awards)),1.0,11.46,Amazon Business
8a7ecef70cef04f03e68ef35f54c8627,giraffes can't dance: audiobook read-along (paperback and cd),1.0,5.75,Amazon Business
3599b21acd51384a27a0d19e4212843b,"30538-4013:  prang das modeling clay - 5.3 oz, yellow",3.0,3.66,Blick Art Materials
31976d050fb5a9c99c50e0e54694f3f3,"kids kore wobble chair 14"" - dark blue",5.0,59.49,Kaplan Early Learning Company
61af742ff3e3b116918763ca25d7fde2,"quaker chewy granola bars variety pack, 58 count",1.0,11.99,Amazon Business
67e157387ad724860770506f739d815b,aa304 - level c book bin - k - library 1,1.0,36.99,Lakeshore Learning Materials
de90e46e95a062c3da8acbc73219753a,katy and the big snow,1.0,6.99,Amazon Business
7983b6113d7439adbcb7999c127add50,dd518 - wireless classroom headphones set,1.0,199.0,Lakeshore Learning Materials
27eec0674f14f6d2500cd9f210f1aade,kit faraday cage,1.0,15.26,Frey Scientific
ea65f18ad23d40e678c555d71f475044,money and you books  set of 4,2.0,19.95,Nasco
9fbc7503e09edb27d7c35d82993a5914,afghanistan,1.0,7.26,AKJ Education
eea2180e2c5776eb66d33b33a3f3d73f,dt506 - decorate-your-own pencil cases - set of 15,2.0,24.99,Lakeshore Learning Materials
3eb750b48a5dbb9ba075ddfa363f9d06,beautiful oops!,1.0,10.12,Amazon Business
9f3eada96c5b679ea1cfadafeddd9eca,game wacky web,2.0,17.33,School Specialty
f4576da3e4c1b4bcc8044717771d6d5a,bob books set 3- word families,1.0,10.49,Amazon Business
9dacb2b65719c830dc02ca9526ac57c3,samsung - galaxy tab 3 lite - 8gb - white,1.0,139.99,Best Buy Education
6c637ac291f3b53301f32191f59ec3e8,"bulk synthetic blood type o-, per ml",50.0,0.22,Carolina Biological Supply Company
8169d603918f53057661a4be8c800e1a,de190 - reusable write & wipe pocket - set of 10,1.0,22.5,Lakeshore Learning Materials
77c52393b3eab06f7147010d369c5acd,nanoblock sagrada familia,1.0,14.99,Amazon Business
461447ff15f29d5b25a3017b1ba85d3f,"2 packs of 12 of low odor expo dry erase markers, chisel tip, black",4.0,14.96,Amazon Business
145d319ed2f4e3035bf90cb817844b95,"cha, cha, cha -- spanish learning songs canciones infantiles",1.0,11.5,Amazon Business
66ac940547fb6ff5a8d76c9747516298,re111 - dino-dig excavation kit,1.0,24.99,Lakeshore Learning Materials
d649eb1580dd82e5bd2dfcd90b96a46c,"about fish: a guide for children cathryn sill, john sill (il",1.0,5.8,AKJ Education
a054009b514c82be2d1bad2a4fe14974,306 snapwords teaching cards,1.0,147.35,Amazon Business
7383b203bc55e5ab239da285ce761dc8,perfect poems for teaching sight words,1.0,13.56,Kaplan Early Learning Company
fd200bd95573e869f8c137559caec9ce,ra442 - nonhardening modeling clay bucket - each,5.0,7.99,Lakeshore Learning Materials
9d273f5d8919825d6877e2c5a4d2a65b,marker crayola broad line original classpack set of 256,1.0,77.67,School Specialty
d4113494487d75968b36abb9830efaa3,hh408 - research & respond comprehension center - grades 2-3,1.0,69.99,Lakeshore Learning Materials
ee8ecb9aa78ec7f9ad62cf2c9f8fa8a5,apple ipad 2 mc769ll/a 9.7-inch 16gb (black) 1395 - certified refurbished,5.0,184.99,Amazon Business
4567a9dc0b49094694f75d15cddac170,"samsung chromebook 2 (13-inch, luminous titan)",1.0,378.0,Amazon Business
367a9e563d205ab70a862674fc916ce0,twister game,1.0,22.06,Kaplan Early Learning Company
6fc0cc4cc75482cb9d359b669b5ccadc,crayons crayola multicultural std size set of 8,1.0,0.99,School Specialty
4b1fb59e7afcc538a326d643ef6d0cf0,primary teaching easel,1.0,284.95,Teachers' School Supply
abf59451357af9dffa1b54acd879f1c4,my dog fuzzy,1.0,4.38,AKJ Education
547d567d6fb865cc2e00482d003cd9b4,infocase classmate always-on case for samsung series 3 chromebook,3.0,29.14,Staples Advantage
f1fede9feec156f00a968f55af233a19,do a dot art mini dots and doodles (set of 6),1.0,13.56,Kaplan Early Learning Company
a397904f1e7b50c7c3d4469f7ca9d39a,"teehee kids girls fashion cotton fun crew 18 pair pack gift box (3-5y, cat-dog-pig face)",1.0,19.99,Amazon Business
14fb603018c97ab7a325f2b5f38aaa8a,the oxford dictionary of english etymology,1.0,85.45,Amazon Business
9d1ada4095a81dc7b4bee2a0f641a5f0,"amazing rubber band cars: easy-to-build wind-up racers, models, and toys",1.0,21.95,Amazon Business
0c7dd0e82713fecf05900306ce6bd947,"home-it adjustable bed risers or furniture riser bed lifts in heights of 8, 5 or 3 inches heavy duty set of 4 bed riser",5.0,13.99,Amazon Business
d95d4354772fba9fe9e522b01571e4e2,"unpainted wooden eggs - for easter, crafts and more - 2-1/2"" x 1-3/4"" - bag of 24 - by craftparts direct",1.0,18.75,Amazon Business
50c775094593bc11c98ac64b6a0102e5,dg246 - heavy-duty mobile book organizer,1.0,299.0,Lakeshore Learning Materials
